group,subject_nr,x,y,n_side,n_vert,x_ci_lo,x_ci_hi,y_ci_lo,y_ci_hi
LTR,101,-0.25,-0.050000000000000044,40.0,40.0,,,,
LTR,102,-0.35,0.3999999999999999,40.0,40.0,,,,
LTR,104,-0.15000000000000002,0.8421052631578947,40.0,38.0,,,,
LTR,105,-0.55,0.6499999999999999,40.0,40.0,,,,
LTR,106,-0.3513513513513513,-0.08108108108108103,37.0,37.0,,,,
LTR,43,-0.6,0.6000000000000001,40.0,40.0,,,,
LTR,51,0.19999999999999996,0.25,40.0,40.0,,,,
LTR,60,-0.5,0.7,40.0,40.0,,,,
LTR,62,-0.5789473684210527,0.6842105263157894,38.0,38.0,,,,
LTR,63,-0.6,0.6000000000000001,40.0,40.0,,,,
RTL,103,-0.4054054054054054,0.6111111111111112,37.0,36.0,,,,
RTL,109,-0.09999999999999998,0.75,40.0,40.0,,,,
RTL,110,-0.4,0.8,40.0,40.0,,,,
RTL,44,-0.35,0.75,40.0,40.0,,,,
RTL,52,-0.4,0.7,40.0,40.0,,,,
RTL,54,0.050000000000000044,0.6499999999999999,40.0,40.0,,,,
RTL,64,0.3999999999999999,0.3500000000000001,40.0,40.0,,,,
RTL,65,0.19999999999999996,0.8,40.0,40.0,,,,
LTR,GROUP_MEAN,-0.37302987197724025,0.4595234708392604,,,-0.5305439189189189,-0.19999999999999996,0.24893652204836414,0.6521166429587482
RTL,GROUP_MEAN,-0.1256756756756756,0.6763888888888889,,,-0.3501815878378378,0.10660050675675659,0.5395833333333333,0.7875000000000001
